name,year founded,industry,size range,locality,country,current employee estimate
university of minnesota,1851.0,higher education,10001+,"st paul, kentucky, united states",united states,14092
"ameriprise financial services, inc.",1894.0,financial services,10001+,"de pere, wisconsin, united states",united states,13954
progressive insurance,1937.0,insurance,10001+,"bay village, ohio, united states",united states,13840
the ohio state university,1870.0,higher education,10001+,"columbus, ohio, united states",united states,13817
"anthem, inc.",,insurance,10001+,"indianapolis, indiana, united states",united states,13715
safeway,1915.0,food & beverages,10001+,"pleasanton, california, united states",united states,13700
national oilwell varco,1841.0,oil & energy,10001+,"seminole, texas, united states",united states,13484
walt disney world,1971.0,entertainment,10001+,"lake buena vista, florida, united states",united states,13420
staples,1986.0,business supplies and equipment,10001+,"framingham, massachusetts, united states",united states,13400
the salvation army,1865.0,non-profit organization management,10001+,"nassau, new york, united states",united states,13374
barclays investment bank,,financial services,10001+,"new york, new york, united states",united states,13330
sherwin williams,1866.0,chemicals,10001+,"cleveland, ohio, united states",united states,13284
motorola,1928.0,consumer electronics,10001+,"chicago, illinois, united states",united states,13241
stanford university,,higher education,10001+,"stanford, california, united states",united states,13219
mercer,,human resources,10001+,"new york, new york, united states",united states,13195
genentech,1976.0,biotechnology,10001+,"south san francisco, california, united states",united states,13103
bd,1897.0,medical devices,10001+,"franklin lakes, new jersey, united states",united states,12994
duke energy corporation,1904.0,utilities,10001+,"charlotte, north carolina, united states",united states,12818
teksystems,1983.0,information technology and services,10001+,"hanover, maryland, united states",united states,12751
century 21®,1971.0,real estate,10001+,"madison, new jersey, united states",united states,12678
colgate palmolive,1806.0,consumer goods,10001+,"new york, new york, united states",united states,12647
ge aviation,,airlines/aviation,10001+,"cincinnati, ohio, united states",united states,12642
tesla,2003.0,automotive,10001+,"palo alto, california, united states",united states,12641
u.s. coast guard,1915.0,military,10001+,"washington, district of columbia, united states",united states,12574
the janssen pharmaceutical companies of johnson & johnson,,pharmaceuticals,10001+,"raritan, new jersey, united states",united states,12572
charter communications,1993.0,telecommunications,10001+,"stamford, connecticut, united states",united states,12535
re/max,1973.0,real estate,10001+,"denver, colorado, united states",united states,12526
jabil,1966.0,electrical/electronic manufacturing,10001+,"st. petersburg, florida, united states",united states,12518
us government,,government administration,10001+,"washington, district of columbia, united states",united states,12482
pizza hut,1958.0,restaurants,10001+,"plano, texas, united states",united states,12338
emerson automation solutions,,mechanical or industrial engineering,10001+,"round rock, texas, united states",united states,12302
the boston consulting group (bcg),1963.0,management consulting,10001+,"boston, massachusetts, united states",united states,12290
l-3 communications,1997.0,management consulting,10001+,"new york, new york, united states",united states,12268
davita,1999.0,hospital & health care,10001+,"denver, colorado, united states",united states,12264
lear corporation,1917.0,automotive,10001+,"southfield, michigan, united states",united states,12219
rockwell automation,1903.0,industrial automation,10001+,"milwaukee, wisconsin, united states",united states,12217
wells fargo advisors,,financial services,10001+,"st. louis, missouri, united states",united states,12123
texas a&m university,1876.0,higher education,10001+,"college station, texas, united states",united states,12106
bloomberg lp,1981.0,financial services,10001+,"new york, new york, united states",united states,12093
arizona state university,1885.0,higher education,10001+,"tempe, arizona, united states",united states,12088
ppg industries,1883.0,chemicals,10001+,"pittsburgh, pennsylvania, united states",united states,12061
fiserv,1984.0,information technology and services,10001+,"brookfield, wisconsin, united states",united states,12045
conocophillips,2012.0,oil & energy,10001+,"houston, texas, united states",united states,12017
michigan state university,,higher education,10001+,"east lansing, michigan, united states",united states,12003
suntrust bank,1891.0,financial services,10001+,"atlanta, georgia, united states",united states,11960
