name,domain,year founded,industry,size range,locality,country
coldwell banker residential brokerage,coldwellbanker.com,1906.0,real estate,10001+,"madison, new jersey, united states",united states
faa,faa.gov,1958.0,aviation & aerospace,10001+,"washington, district of columbia, united states",united states
university of michigan,umich.edu,1817.0,higher education,10001+,"ann arbor, michigan, united states",united states
fis,fisglobal.com,,information technology and services,10001+,"jacksonville, florida, united states",united states
ge power,gepower.com,,oil & energy,10001+,"schenectady, new york, united states",united states
epam systems,epam.com,1993.0,computer software,10001+,"newtown, pennsylvania, united states",united states
jcpenney,jcpenney.com,1902.0,retail,10001+,"plano, texas, united states",united states
boston scientific,bostonscientific.com,1979.0,medical devices,10001+,"marlborough, massachusetts, united states",united states
lenovo,lenovo.com,2005.0,computer hardware,10001+,"morrisville, north carolina, united states",united states
amazon web services,,2006.0,information technology and services,10001+,"seattle, washington, united states",united states
philip morris international,pmi.com,2008.0,tobacco,10001+,"new york, new york, united states",united states
alstom,alstom.com,1928.0,railroad manufacture,10001+,"washington, pennsylvania, united states",united states
cummins inc.,cummins.com,1919.0,automotive,10001+,"columbus, indiana, united states",united states
centurylink,centurylink.com,1930.0,telecommunications,10001+,"monroe, louisiana, united states",united states
amgen,amgen.com,1980.0,biotechnology,10001+,"thousand oaks, california, united states",united states
cvs pharmacy,,1963.0,pharmaceuticals,10001+,"woonsocket, rhode island, united states",united states
ncr corporation,ncr.com,1884.0,information technology and services,10001+,"duluth, georgia, united states",united states
amdocs,amdocs.com,1982.0,telecommunications,10001+,"chesterfield, missouri, united states",united states
abbvie,abbvie.com,2013.0,pharmaceuticals,10001+,"north chicago, illinois, united states",united states
arcelormittal,arcelormittal.com,2006.0,mining & metals,10001+,"none, south carolina, united states",united states
aramark,aramark.com,1939.0,retail,10001+,"philadelphia, pennsylvania, united states",united states
samsung,,1969.0,consumer electronics,10001+,"new york, new york, united states",united states
cerner corporation,cerner.com,1979.0,information technology and services,10001+,"kansas city, missouri, united states",united states
kimberly-clark,careersatkc.com,1872.0,consumer goods,10001+,"seminole, texas, united states",united states
agilent technologies,agilent.com,1999.0,biotechnology,10001+,"santa clara, california, united states",united states
upwork,upwork.com,2015.0,internet,10001+,"mountain view, california, united states",united states
whole foods market,wholefoodsmarket.com,1980.0,supermarkets,10001+,"austin, texas, united states",united states
comcast cable,,1963.0,telecommunications,10001+,"philadelphia, pennsylvania, united states",united states
southwest airlines,southwest.com,1971.0,airlines/aviation,10001+,"dallas, texas, united states",united states
stryker,stryker.com,1941.0,medical devices,10001+,"kalamazoo, michigan, united states",united states
international mission of mercy (imm),immusa.org,1991.0,public relations and communications,10001+,"morristown, new jersey, united states",united states
bank of america merrill lynch,bofaml.com,,financial services,10001+,"charlotte, north carolina, united states",united states
publix super markets,publix.com,1930.0,retail,10001+,"lakeland, florida, united states",united states
youtube,youtube.com,2005.0,internet,10001+,"san bruno, california, united states",united states
u.s. department of state,state.gov,,international affairs,10001+,"washington, district of columbia, united states",united states
mars,mars.com,1911.0,food production,10001+,"mclean, virginia, united states",united states
usaa,usaa.com,1922.0,financial services,10001+,"san antonio, texas, united states",united states
chicago public schools,cps.edu,1837.0,education management,10001+,"chicago, illinois, united states",united states
fresenius medical care,fmcna.com,1996.0,hospital & health care,10001+,"waltham, massachusetts, united states",united states
cushman & wakefield,cushmanwakefield.com,1917.0,commercial real estate,10001+,"chicago, illinois, united states",united states
cigna,cigna.com,1982.0,"health, wellness and fitness",10001+,"bloomfield, connecticut, united states",united states
ymca,ymca.net,1844.0,non-profit organization management,10001+,"chicago, illinois, united states",united states
prudential financial,prudential.com,1875.0,financial services,10001+,"newark, new jersey, united states",united states
bosch,bosch.com,1886.0,mechanical or industrial engineering,10001+,"garfield, new jersey, united states",united states
rodan + fields,rodanandfields.com,2002.0,consumer goods,10001+,"san francisco, california, united states",united states
rr donnelley,rrdonnelley.com,1864.0,printing,10001+,"chicago, illinois, united states",united states
vmware,vmware.com,1998.0,computer software,10001+,"palo alto, california, united states",united states
penn state university,psu.edu,1855.0,higher education,10001+,"university park, pennsylvania, united states",united states
texas instruments,ti.com,1930.0,semiconductors,10001+,"dallas, texas, united states",united states
baxter international inc.,baxter.com,1931.0,medical devices,10001+,"deerfield, illinois, united states",united states
cardinal health,cardinalhealth.com,1971.0,hospital & health care,10001+,"dublin, ohio, united states",united states
amway,amwayglobal.com,1959.0,consumer goods,10001+,"ada, michigan, united states",united states
bb&t,bbt.com,1872.0,financial services,10001+,"winston salem, north carolina, united states",united states
saic,saic.com,2013.0,information technology and services,10001+,"mclean, virginia, united states",united states
bureau veritas,bureauveritas.com,1828.0,environmental services,10001+,"sunrise, florida, united states",united states
sas,sas.com,1976.0,computer software,10001+,"cary, north carolina, united states",united states
coldwell banker,,1906.0,real estate,10001+,"madison, new jersey, united states",united states
monsanto company,monsanto.com,2000.0,farming,10001+,"st. louis, missouri, united states",united states
manpowergroup,manpowergroup.com,1948.0,staffing and recruiting,10001+,"milwaukee, wisconsin, united states",united states
american red cross,redcross.org,1881.0,non-profit organization management,10001+,"washington, district of columbia, united states",united states
kelly services,kellyservices.com,1946.0,staffing and recruiting,10001+,"troy, michigan, united states",united states
time warner cable,timewarnercable.com,1989.0,telecommunications,10001+,"new york, new york, united states",united states
adobe,adobe.com,1982.0,computer software,10001+,"san jose, california, united states",united states
university of florida,ufl.edu,1853.0,higher education,10001+,"gainesville, florida, united states",united states
ecolab,ecolab.com,,chemicals,10001+,"st paul, kentucky, united states",united states
university of minnesota,umn.edu,1851.0,higher education,10001+,"st paul, kentucky, united states",united states
"ameriprise financial services, inc.",ameriprise.com,1894.0,financial services,10001+,"de pere, wisconsin, united states",united states
progressive insurance,progressive.com,1937.0,insurance,10001+,"bay village, ohio, united states",united states
the ohio state university,osu.edu,1870.0,higher education,10001+,"columbus, ohio, united states",united states
"anthem, inc.",antheminc.com,,insurance,10001+,"indianapolis, indiana, united states",united states
safeway,safeway.com,1915.0,food & beverages,10001+,"pleasanton, california, united states",united states
