handle,name,industry,size,state,founded,city
company/airworthy-aerospace-industries-incorporated,"Airworthy, Inc.",airlines and aviation,51-200,Wisconsin,2000,Hudson
company/ajkun-ballet-theatre,Ajkun Ballet Theatre,performing arts,51-200,New York,2000,Nyc
company/ajr-metalworks-inc,"AJR METALWORKS, INC","appliances, electrical, and electronics manufacturing",51-200,Texas,1980,Dallas
company/ak-industrial-contractors-inc.,"AK Industrial Contractors, Inc.",specialty trade contractors,51-200,Arkansas,1981,Searcy
company/akdy-imports,AKDY,manufacturing,51-200,California,2006,Rancho Cucamonga
company/aks-cutting-systems,"AKS Cutting Systems, Inc.",machinery manufacturing,51-200,Ohio,1901,Cleveland
company/aksamit-transportation-inc,Aksamit Transportation Inc,truck transportation,51-200,Minnesota,2001,Browerville
company/alabama-emergency-management-agency,Alabama Emergency Management Agency,government administration,51-200,Alabama,1955,Clanton
company/alamo-title-dfw,Alamo Title Company DFW,real estate,51-200,Texas,1922,Grapevine
company/alamoparkingsolutions,Alamo Parking Solutions,hospitality,51-200,Texas,2001,Houston
company/alcom-llc,ALCOM LLC,manufacturing,1K-5K,Maine,2006,Winslow
company/alegre-home-care,Alegre Home Care,hospitals and health care,201-500,California,2014,San Francisco
company/alephzadikaleph,Aleph Zadik Aleph,social networking platforms,10K+,New York,1924,New York
company/aleron-inc-talent,"Aleron Group - Acara Solutions, Broadleaf Results, Lume Strategies, TalentRise, Viaduct",staffing and recruiting,201-500,New York,1957,Buffalo
company/alexander-wang-llc,Alexander Wang LLC,retail apparel and fashion,201-500,New York,2005,New York
company/algerannonces,Looking Glass Funding,financial services,51-200,Virginia,2016,Alexandria
company/alianza-eco-international-school,ALIANZA ECO INTERNATIONAL SCHOOL,education administration programs,51-200,Texas,2015,Cypress
company/alinercamping,Aliner,manufacturing,51-200,Pennsylvania,1984,Mt. Pleasant
company/aljisr,Association partenariat école entreprise Al jisr,civic and social organizations,51-200,Massachusetts,1999,Casablanca
company/all-about-care-solutions,All About Care,hospitals and health care,51-200,Tennessee,2008,Nashville
company/all-balls-racing-inc-,All Balls Racing Group,manufacturing,51-200,Iowa,2000,Urbandale
company/all-cartage-transportation-inc,"All Cartage Transportation, Inc",transportation/trucking/railroad,51-200,California,1978,Hawthorne
company/all-nations-church-roc,All Nations Church ROC,religious institutions,51-200,New York,2004,Henrietta
company/all-recycling-inc.,"All Recycling, Inc.",wholesale,51-200,Colorado,1993,Englewood
company/all-square-mortgage-inc,All Square Mortgage Inc. NMLS-893532,financial services,51-200,Washington,2012,Lake Stevens
company/all-star-pallet,All Star Pallet,"transportation, logistics, supply chain and storage",51-200,Texas,2020,Dallas
company/all-storage,allstorage,real estate,51-200,Texas,1990,White Settlement
company/all-tex-pipe-&-supply,All-Tex Pipe & Supply,wholesale,51-200,Texas,1973,Dallas
company/all-uniform-wear,All Uniform Wear,retail,201-500,Florida,1982,Miami
company/allegiance-benefit-plan-management,Allegiance Benefit Plan Management,insurance,201-500,Montana,1981,Missoula
company/allen-communication-learning-services,AllenComm,e-learning providers,51-200,Utah,1981,Salt Lake City
company/allenallenco,Allen & Allen Co.,building materials,51-200,Texas,1931,San Antonio
company/alleyco,Alley,it services and it consulting,51-200,New York,2010,New York
company/alliance-ambulance-inc.,"Alliance Ambulance, Inc.",hospitals and health care,51-200,Texas,1995,Houston
company/alliance-for-childhood-diseases,Alliance for Childhood Diseases,medical practices,51-200,Nevada,2007,Las Vegas
company/alliance-workforce-inc-,Alliance Workforce Inc.,staffing and recruiting,201-500,Kansas,2000,Kansas City
company/allianceforaging,"Alliance for Aging, Inc.",information services,51-200,Florida,1988,Miami
company/allied-trade-group-inc-,ATGStores.com,"technology, information and internet",201-500,Washington,1999,Kirkland
company/allstar-fuel,Allstar Fuel,oil and gas,51-200,Texas,1951,Plainview
company/allstateutilityconstruction,"Allstate Utility Construction, LLC.",construction,51-200,Arizona,2003,Queen Creek
company/allston-holdings-llc,ALLSTON HOLDINGS LLC,investment banking,201-500,Illinois,2007,Chicago
company/almabase,Almabase,education,51-200,California,2013,San Francisco
company/alokab-consulting,Alokab Consulting,business consulting and services,51-200,Delaware,2001,Wilmington
company/alpha-&-omega-semiconductor,Alpha & Omega Semiconductor,semiconductor manufacturing,1K-5K,California,2000,Sunnyvale
